DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30106893,Early stage litter decomposition across biomes,Journal Article,"Djukic, Ika;Kepfer-Rojas, Sebastian;Schmidt, Inger Kappel;Larsen, Klaus Steenberg;Beier, Claus;Berg, Björn;Verheyen, Kris;Caliman, Adriano;Paquette, Alain;Gutiérrez-Girón, Alba;Humber, Alberto;Valdecantos, Alejandro;Petraglia, Alessandro;Alexander, Heather;Augustaitis, Algirdas;Saillard, Amélie;Fernández, Ana Carolina Ruiz;Sousa, Ana I.;Trevathan-Trackett, Stacey;Macreadie, Peter",0048-9697,Science of the total environment,MD Multidisciplinary,2018,9,6,4.9,1.621,86,5,http://dro.deakin.edu.au/view/DU:30106893,FALSE
DU:30108001,"Eyes in the sea: unlocking the mysteries of the ocean using industrial, remotely operated vehicles (ROVs)",Journal Article,"Macreadie, Peter I.;McLean, Dianne L.;Thomson, Paul G.;Partridge, Julian C.;Jones, Daniel O.B.;Gates, Andrew R.;Benfield, Mark C.;Collin, Shaun P.;Booth, David J.;Smith, Luke L.;Techera, Erika;Skropeta, Danielle;Horton, Tammy;Pattiaratchi, Charitha;Bond, Todd;Fowler, Ashley M.",0048-9697,Science of the total environment,MD Multidisciplinary,2018,3,,4.9,1.621,85,2,http://dro.deakin.edu.au/view/DU:30108001,FALSE
DU:30117106,Decommissioning of offshore oil and gas structures – Environmental opportunities and challenges,Journal Article,"Sommer, B;Fowler, AM;Macreadie, Peter;Palandro, DA;Aziz, AC;Booth, DJ",0048-9697,Science of the Total Environment,MD Multidisciplinary,2019,,,4.9,1.621,0,0,http://dro.deakin.edu.au/view/DU:30117106,FALSE
DU:30088153,Converting beach-cast seagrass wrack into biochar: a climate-friendly solution to a coastal problem,Journal Article,"Macreadie, Peter I.;Trevathan-Tackett, Stacey M.;Baldock, Jeffrey A.;Kelleway, Jeffrey J.",1879-1026,Science of the total environment,"050205 Environmental Management,060701 Phycology (incl Marine Grasses),MD Multidisciplinary",2017,3,,4.9,1.621,160,1,http://dro.deakin.edu.au/view/DU:30088153,FALSE
DU:30096890,Sediment microbes mediate the impact of nutrient loading on blue carbon sequestration by mixed seagrass meadows,Journal Article,"Liu, Songlin;Jiang, Zhijian;Zhang, Jingping;Wu, Yunchao;Huang, Xiaoping;Macreadie, Peter I.",1879-1026,Science of the total environment,"050301 Carbon Sequestration Science,060701 Phycology (incl Marine Grasses),MD Multidisciplinary",2017,3,,4.9,1.621,132,2,http://dro.deakin.edu.au/view/DU:30096890,FALSE
DU:30105622,Fresh carbon inputs to seagrass sediments induce variable microbial priming responses,Journal Article,"Trevathan-Tackett, Stacey M.;Thomson, Alexandra C. G.;Ralph, Peter J.;Macreadie, Peter I.",1879-1026,Science of the total environment,MD Multidisciplinary,2018,6,,4.9,1.621,66,2,http://dro.deakin.edu.au/view/DU:30105622,FALSE
DU:30106893,Early stage litter decomposition across biomes,Journal Article,"Djukic, Ika;Kepfer-Rojas, Sebastian;Schmidt, Inger Kappel;Larsen, Klaus Steenberg;Beier, Claus;Berg, Björn;Verheyen, Kris;Caliman, Adriano;Paquette, Alain;Gutiérrez-Girón, Alba;Humber, Alberto;Valdecantos, Alejandro;Petraglia, Alessandro;Alexander, Heather;Augustaitis, Algirdas;Saillard, Amélie;Fernández, Ana Carolina Ruiz;Sousa, Ana I.;Trevathan-Trackett, Stacey;Macreadie, Peter",1879-1026,Science of the total environment,MD Multidisciplinary,2018,9,6,4.9,1.621,86,5,http://dro.deakin.edu.au/view/DU:30106893,FALSE
DU:30108001,"Eyes in the sea: unlocking the mysteries of the ocean using industrial, remotely operated vehicles (ROVs)",Journal Article,"Macreadie, Peter I.;McLean, Dianne L.;Thomson, Paul G.;Partridge, Julian C.;Jones, Daniel O.B.;Gates, Andrew R.;Benfield, Mark C.;Collin, Shaun P.;Booth, David J.;Smith, Luke L.;Techera, Erika;Skropeta, Danielle;Horton, Tammy;Pattiaratchi, Charitha;Bond, Todd;Fowler, Ashley M.",1879-1026,Science of the total environment,MD Multidisciplinary,2018,3,,4.9,1.621,85,2,http://dro.deakin.edu.au/view/DU:30108001,FALSE
DU:30117106,Decommissioning of offshore oil and gas structures – Environmental opportunities and challenges,Journal Article,"Sommer, B;Fowler, AM;Macreadie, Peter;Palandro, DA;Aziz, AC;Booth, DJ",1879-1026,Science of the Total Environment,MD Multidisciplinary,2019,,,4.9,1.621,0,0,http://dro.deakin.edu.au/view/DU:30117106,FALSE
DU:30092395,Carbon sequestration by Australian tidal marshes,Journal Article,"Macreadie, Peter I.;Ollivier, Q.R.;Kelleway, J.J.;Serrano, O.;Carnell, P.E.;Ewers Lewis, C.J.;Atwood, T.B.;Sanderman, J.;Baldock, J.;Connolly, R.M.;Duarte, C.M.;Lavery, P.S.;Steven, A.;Lovelock, C.E.",2045-2322,Scientific reports,"050205 Environmental Management,050301 Carbon Sequestration Science,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),050205 Environmental Management,050301 Carbon Sequestration Science,060205 Marine and Estuarine Ecology (incl Marine Ichthyology)",2017,19,17,4.259,1.625,137,111,http://dro.deakin.edu.au/view/DU:30092395,TRUE
