URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30077339,2015,"Investment in sensory structures, testis size, and wing coloration in males of a diurnal moth species: trade-offs or correlated growth?","Shiel, Brett P.;Sherman, Craig D. H.;Elgar, Mark A.;Johnson, Tamara L.;Symonds, Matthew R. E.",Ecology and evolution,"060808 Invertebrate Biology,060201 Behavioural Ecology","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)",1,1,2.44,215,29,1.356,Q1,41,DU:30077339,"20457758, 20457758",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039063,2006,"Latitudinal gradients in abundance, and the causes of rarity in the tropics: a test using Australian honeyeaters (Aves: Meliphagidae)","Symonds, Matthew R. E.;Christidis, Les;Johnson, Christopher N.",Oecologia,"060202 Community Ecology (excl Invasive Species Ecology),060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q1)",11,10,3.13,295,1,1.695,Q1,167,DU:30039063,"00298549, 14321939, 14321939, 00298549, 14321939, 14321939",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30072077,2014,Leaders benefit followers in the collective movement of a social sawfly,"Hodgkin, L. K.;Symonds, M. R.;Elgar, M. A.",Proceedings of the royal society B,060304 Ethology and Sociobiology,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)",11,10,4.94,266,2,2.826,Q1,209,DU:30072077,14712954,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30105517,2017,Leadership through knowledge and experience in a social sawfly,"Hodgkin, Lisa K;Symonds, Matthew RE;Elgar, Mark A",Animal behaviour,"06 Biological Sciences,07 Agricultural And Veterinary Sciences,17 Psychology And Cognitive Sciences","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",1,1,2.869,115,3,1.580,Q1,142,DU:30105517,00033472,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30072073,2014,Lecturing and other face-to-face teaching – too much or too little? An assessment based on student feedback and fail rates,"Symonds, Matthew R. E.",Higher education research and development,"130103 Higher Education,130103 Higher Education",Education (Q1),3,6,1.206,258,23,1.416,Q1,33,DU:30072073,07294360,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039059,1999,"Life histories of the Insectivora : the role of phylogeny, metabolism and sex differences","Symonds, Matthew R. E.",Journal of zoology,"060201 Behavioural Ecology,060203 Ecological Physiology,060308 Life Histories","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",44,40,2.186,312,2,1.077,Q1,81,DU:30039059,"09528369, 09528369, 14697998, 14697998, 09528369, 09528369, 14697998, 14697998",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30049675,2013,Macrostress: do large-scale ecological patterns exist in the glucocorticoid stress response of vertebrates?,"Jessop, Tim S.;Woodford, Romy;Symonds, Matthew R. E.",Functional ecology,"060309 Phylogeny and Comparative Analysis,060806 Animal Physiological Ecology","Ecology, Evolution, Behavior and Systematics (Q1)",37,38,5.63,321,9,2.868,Q1,129,DU:30049675,"02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435, 02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30094272,2017,Measurement techniques for curved shorebird bills: a comparison of low-tech and high-tech methods,"Ryeland, Julia;Symonds, Matthew R. E.;Weston, Michael A.",Wader study,"050211 Wildlife and Habitat Management,0608 Zoology",NA,0,NA,NA,153,1,NA,NA,NA,DU:30094272,02603799,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30109102,2018,Mitogenomic and nuclear diversity in the Mulga Parrot of the Australian arid zone: cryptic subspecies and tests for selection,"McElroy, Kerensa;Beattie, Keira;Symonds, Matthew R. E.;Joseph, Leo",Emu - Austral ornithology,"0502 Environmental Science And Management,0602 Ecology,0608 Zoology","Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2)",3,2,0.989,69,1,0.568,Q2,35,DU:30109102,"01584197, 14485540, 01584197, 14485540",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30115537,2019,Morphology and geography predict the use of heat conservation behaviours across birds,"Pavlovic, Gabrielle;Weston, Michael A.;Symonds, Matthew R. E.",Functional ecology,"06 Biological Sciences,05 Environmental Sciences","Ecology, Evolution, Behavior and Systematics (Q1)",0,0,5.63,27,2,2.868,Q1,129,DU:30115537,"02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435, 02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039061,2004,Nature and Science know best,"Symonds, Matthew R. E.",Trends in ecology and evolution,060299 Ecology not elsewhere classified,"Ecology, Evolution, Behavior and Systematics (Q1)",4,4,15.268,59,1,8.634,Q1,295,DU:30039061,"01695347, 01695347, 18728383, 18728383, 01695347, 01695347, 18728383, 18728383",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30044118,2012,"Pheromone production, male abundance, body size, and the evolution of elaborate antennae in moths","Symonds, Matthew R. E.;Johnson, Tamara L.;Elgar, Mark A.",Ecology and evolution,"060808 Invertebrate Biology,060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)",26,22,2.44,1262,28,1.356,Q1,41,DU:30044118,"20457758, 20457758",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30039064,2002,Phylogeny affects estimation of metabolic scaling in mammals,"Symonds, Matthew R. E.;Elgar, Mark A.",Evolution,"060203 Ecological Physiology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)",44,41,4.201,72,1,2.391,Q1,179,DU:30039064,"00143820, 00143820, 15585646, 15585646, 00143820, 00143820, 15585646, 15585646",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039062,2005,Phylogeny and life histories of the 'Insectivora': controversies and consequences,"Symonds, Matthew R. E.",Biological reviews,"060201 Behavioural Ecology,060308 Life Histories,060309 Phylogeny and Comparative Analysis","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",46,40,11.615,294,1,4.900,Q1,132,DU:30039062,"14647931, 1469185X, 1469185X, 14647931, 1469185X, 1469185X",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039054,2010,Positive and negative effects of phoretic mites on the reproductive output of an invasive bark beetle,"Hodgkin, Lisa K.;Elgar, Mark A.;Symonds, Matthew R. E.",Australian journal of zoology,"060201 Behavioural Ecology,060808 Invertebrate Biology,060201 Behavioural Ecology,060808 Invertebrate Biology","Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)",6,5,0.766,284,2,0.490,Q2,41,DU:30039054,0004959X,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039051,2005,Publication success in Nature and Science is not gender dependent,"Braisher, Tamsin L.;Symonds, Matthew R. E.;Gemmell, Neil J.",BioEssays,"060299 Ecology not elsewhere classified,060299 Ecology not elsewhere classified","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",9,10,4.441,59,3,2.725,Q1,168,DU:30039051,02659247,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039056,2007,"Quantity, quality and equality","Symonds, Matthew",New scientist,"060299 Ecology not elsewhere classified,160511 Research, Science and Technology Policy",Multidisciplinary (Q4),NA,NA,0.353,64,0,0.105,Q4,16,DU:30039056,02624079,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30039070,2006,Range size-abundance relationships in Australian passerines,"Symonds, Matthew R. E.;Johnson, Christopher N.",Global ecology and biogeography,"060207 Population Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology,060207 Population Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Global and Planetary Change (Q1)",20,16,6.045,295,1,3.786,Q1,118,DU:30039070,1466822X,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30044261,2012,"Reproductive consequences of male arrival order in the Bark beetle, Ips grandicollis","Symonds, Matthew R. E.;Magrath, Michael J. L.;Latty, Tanya M.",Journal of insect behavior,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology,060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)",3,3,0.97,317,7,0.521,Q2,44,DU:30044261,08927553,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30046952,2012,Sexual selection and the evolution of complex color patterns in dragon lizards,"Chen, I-Ping;Stuart-Fox, Devi;Hugall, Andrew F.;Symonds, Matthew R. E.",Evolution,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)",44,45,4.201,288,5,2.391,Q1,179,DU:30046952,"00143820, 00143820, 15585646, 15585646, 00143820, 00143820, 15585646, 15585646",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30096888,2017,Sexual selection on receptor organ traits: younger females attract males with longer antennae,"Johnson, Tamara L.;Symonds, Matthew R. E.;Elgar, Mark A.",The science of nature,"060801 Animal Behaviour,060305 Evolution of Developmental Systems,MD Multidisciplinary","Ecology, Evolution, Behavior and Systematics (Q2); Medicine (miscellaneous) (Q2)",5,4,2.221,134,1,0.837,Q2,83,DU:30096888,"00281042, 14321904, 00281042, 14321904",Journal Article,FALSE
