URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30073636,2012,IUCN red list of ecosystems,"Rodríguez, Jon Paul;Rodríguez-Clark, Kathryn M.;Keith, David A.;Barrow, Edmund G.;Benson, John;Nicholson, Emily;Wit, Piet",Sapiens,"050202 Conservation and Biodiversity,060202 Community Ecology (excl Invasive Species Ecology),050202 Conservation and Biodiversity,060202 Community Ecology (excl Invasive Species Ecology)","Urban Studies (Q3); Geography, Planning and Development (Q4); Global and Planetary Change (Q4); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)",16,NA,NA,210,1,0.145,Q3,15,DU:30073636,19933800,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30102865,2017,Linking biodiversity indicators with global conservation policy,"Nicholson, Emily;Fulton, Elizabeth A;Collen, Ben",Decision-making in conservation and natural resource management: models for interdiscipliary approaches,"050202 Conservation and Biodiversity,050209 Natural Resource Management",NA,NA,0,NA,134,13,NA,NA,NA,DU:30102865,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30073649,2007,Making conservation decisions under uncertainty for the persistence of multiple species,"Nicholson, Emily;Possingham, HP",Ecological applications,050202 Conservation and Biodiversity,Ecology (Q1),59,58,4.314,150,4,2.569,Q1,186,DU:30073649,10510761,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073633,2012,Making robust policy decisions using global biodiversity indicators,"Nicholson, Emily;Collen, Ben;Barausse, Alberto;Blanchard, Julia L.;Costelloe, Brendan T.;Sullivan, Kathryn M. E.;Underwood, Fiona M.;Burn, Robert W.;Fritz, Steffen;Jones, Julia P. G.;McRae, Louise;Possingham, Hugh P.;Milner-Gulland, E. J.",PLoS One,"050202 Conservation and Biodiversity,060208 Terrestrial Ecology","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)",42,41,2.806,186,15,1.164,Q1,241,DU:30073633,19326203,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30073641,2010,Monitoring and conservation of the critically endangered Alaotran gentle lemur Hapalemur alaotrensis,"Guillera-Arroita, Gurutzeta;Lahoz-Monfort, José J.;Milner-Gulland, E. J.;Young, Richard P.;Nicholson, Emily",Madagascar conservation and development,050202 Conservation and Biodiversity,NA,NA,NA,NA,244,29,NA,NA,NA,DU:30073641,"NA",Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30107129,2018,Monitoring biodiversity change through effective global coordination,"Navarro, Laetitia M.;Fernández, Nestor;Guerra, Carlos;Guralnick, Rob;Kissling, W. Daniel;Londoño, Maria Cecilia;Muller-Karger, Frank;Turak, Eren;Balvanera, Patricia;Costello, Mark J.;Delavaud, Aurelie;El Serafy, G. Y.;Ferrier, Simon;Geijzendorffer, Ilse;Geller, Gary N.;Jetz, Walter;Kim, Eun-Shik;Kim, HyeJin;Martin, Corrine S.;McGeoch, Melodie A.;Mwampamba, Tuyeni H.;Nel, Jeanne L.;Nicholson, Emily;Pettorelli, Nathalie;Schaepman, Michael E.;Skidmore, Andrew;Sousa Pinto, Isabel;Vergara, Sheila;Vihervaara, Petteri;Xu, Haigen;Yahara, Tetsukazu;Gill, Mike;Pereira, Henrique M.",Current opinion in environmental sustainability,MD Multidisciplinary,Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1),11,9,3.954,75,16,2.035,Q1,58,DU:30107129,18773435,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30093514,2017,Navigating uncertainty in environmental composite indicators,"Burgass, Michael J;Halpern, Benjamin S;Nicholson, Emily;Milner-Gulland, EJ",Ecological indicators,"050206 Environmental Monitoring,050202 Conservation and Biodiversity,03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences","Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",22,14,3.898,128,1,1.406,Q1,84,DU:30093514,1470160X,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073635,2012,New horizons for managing the environment: a review of coupled social-ecological systems modeling,"Schlüter, M;McAllister, RRJ;Arlinghaus, R;Bunnefeld, N;Eisenack, K;Hölker, F;Milner-Gulland, EJ;Müller, B;Nicholson, Emily;Quaas, M;Stöven, M",Natural resource modeling,"050202 Conservation and Biodiversity,0502 Environmental Science And Management,0102 Applied Mathematics,050202 Conservation and Biodiversity,0502 Environmental Science And Management,0102 Applied Mathematics",Environmental Science (miscellaneous) (Q3); Modeling and Simulation (Q3),141,136,0.426,110,2,0.250,Q3,13,DU:30073635,08908575,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073643,2006,Objectives for multiple-species conservation planning,"Nicholson, Emily;Possingham, Hugh P.",Conservation biology,"050202 Conservation and Biodiversity,05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)",86,81,4.842,58,1,3.081,Q1,194,DU:30073643,"08888892, 08888892, 15231739, 15231739, 15231739, 15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30114067,2019,Optimal planning to mitigate the impacts of roads on multiple species,"Polak, Tal;Nicholson, Emily;Grilo, Clara;Bennett, Joseph R.;Possingham, Hugh P.",Journal of applied ecology,"0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",Ecology (Q1),0,0,5.301,47,0,3.062,Q1,151,DU:30114067,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
