DRO PID,article_title,Publication Type,Authors,Parent Publication,Fields Of Research,Publication Year,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,SJR.x,Abstract Views,File Downloads,URL,Open Access,ISSN,Rank,Sourceid,journal_title,Type,SJR.y,SJR Best Quartile,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Publisher,Categories,Quartiles
DU:30069781,Implications of climate change for macrophytic rafts and their hitchhikers,Journal Article,"Macreadie,PI;Bishop,MJ;Booth,DJ",Marine ecology progress series,060202 Community Ecology (excl Invasive Species Ecology),2011,20,16,2.292,1.279,196,2,http://dro.deakin.edu.au/view/DU:30069781,FALSE,"01718630, 01718630, 01718630, 01718630, 01718630",2973,12169,Marine Ecology - Progress Series,journal,1289,Q1,161,415,1415,28996,3555,1399,"2,37","69,87",Germany,Inter-Research Science Publishing,"Ecology, Evolution, Behavior and Systematics ",1
DU:30070707,Effects of Pinna clams on benthic macrofauna and the possible implications of their removal from seagrass ecosystems,Journal Article,"Macreadie,PI;Kimbro,DL;Fourgerit,V;Leto,J;Hughes,AR",Journal of Molluscan Studies,"060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060205 Marine and Estuarine Ecology (incl Marine Ichthyology)",2014,5,3,1.25,0.559,204,2,http://dro.deakin.edu.au/view/DU:30070707,FALSE,02601230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU:30070708,A multi-criteria decision approach to decommissioning of offshore oil and gas infrastructure,Journal Article,"Fowler,AM;Macreadie,PI;Jones,DOB;Booth,DJ",Ocean and coastal management,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,43,20,1.861,0.887,252,1,http://dro.deakin.edu.au/view/DU:30070708,FALSE,09645691,5081,28333,Ocean and Coastal Management,journal,896,Q1,62,262,726,14345,1741,696,"2,51","54,75",United Kingdom,Elsevier Ltd.,Aquatic Science ,1
DU:30070708,A multi-criteria decision approach to decommissioning of offshore oil and gas infrastructure,Journal Article,"Fowler,AM;Macreadie,PI;Jones,DOB;Booth,DJ",Ocean and coastal management,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,43,20,1.861,0.887,252,1,http://dro.deakin.edu.au/view/DU:30070708,FALSE,09645691,5081,28333,Ocean and Coastal Management,journal,896,Q1,62,262,726,14345,1741,696,"2,51","54,75",United Kingdom,Elsevier Ltd.,"Management, Monitoring, Policy and Law ",1
DU:30070708,A multi-criteria decision approach to decommissioning of offshore oil and gas infrastructure,Journal Article,"Fowler,AM;Macreadie,PI;Jones,DOB;Booth,DJ",Ocean and coastal management,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,43,20,1.861,0.887,252,1,http://dro.deakin.edu.au/view/DU:30070708,FALSE,09645691,5081,28333,Ocean and Coastal Management,journal,896,Q1,62,262,726,14345,1741,696,"2,51","54,75",United Kingdom,Elsevier Ltd.,Oceanography ,1
DU:30072025,Fish assemblages associated with oil industry structures on the continental shelf of north-western Australia,Journal Article,"Pradella,N;Fowler,AM;Booth,DJ;Macreadie,PI",Journal of fish biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,22,14,1.519,0.741,221,2,http://dro.deakin.edu.au/view/DU:30072025,FALSE,"00221112, 10958649, 10958649, 10958649",5665,22560,Journal of Fish Biology,journal,822,Q2,97,293,842,13184,1426,825,"1,72","45,00",United Kingdom,Blackwell Publishing Inc.,Aquatic Science ,2
DU:30072025,Fish assemblages associated with oil industry structures on the continental shelf of north-western Australia,Journal Article,"Pradella,N;Fowler,AM;Booth,DJ;Macreadie,PI",Journal of fish biology,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,22,14,1.519,0.741,221,2,http://dro.deakin.edu.au/view/DU:30072025,FALSE,"00221112, 10958649, 10958649, 10958649",5665,22560,Journal of Fish Biology,journal,822,Q2,97,293,842,13184,1426,825,"1,72","45,00",United Kingdom,Blackwell Publishing Inc.,"Ecology, Evolution, Behavior and Systematics ",2
DU:30072027,Molecular indicators of chronic seagrass stress : A new era in the management of seagrass ecosystems?,Journal Article,"Macreadie,PI;Schliep,MT;Rasheed,MA;Chartrand,KM;Ralph,PJ",Ecological indicators,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,14,NA,3.898,1.308,29,1,http://dro.deakin.edu.au/view/DU:30072027,FALSE,1470160X,2593,20292,Ecological Indicators,journal,1406,Q1,84,689,1663,39398,7126,1590,"4,30","57,18",Netherlands,Elsevier BV,Decision Sciences (miscellaneous) ,1
DU:30072027,Molecular indicators of chronic seagrass stress : A new era in the management of seagrass ecosystems?,Journal Article,"Macreadie,PI;Schliep,MT;Rasheed,MA;Chartrand,KM;Ralph,PJ",Ecological indicators,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,14,NA,3.898,1.308,29,1,http://dro.deakin.edu.au/view/DU:30072027,FALSE,1470160X,2593,20292,Ecological Indicators,journal,1406,Q1,84,689,1663,39398,7126,1590,"4,30","57,18",Netherlands,Elsevier BV,Ecology ,1
DU:30072027,Molecular indicators of chronic seagrass stress : A new era in the management of seagrass ecosystems?,Journal Article,"Macreadie,PI;Schliep,MT;Rasheed,MA;Chartrand,KM;Ralph,PJ",Ecological indicators,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2014,14,NA,3.898,1.308,29,1,http://dro.deakin.edu.au/view/DU:30072027,FALSE,1470160X,2593,20292,Ecological Indicators,journal,1406,Q1,84,689,1663,39398,7126,1590,"4,30","57,18",Netherlands,Elsevier BV,"Ecology, Evolution, Behavior and Systematics ",1
